1 Cola 30.00
2 7Up 90.00
3 Pepsi 90.00
4 Soda 130.00
5 Anchor 150.00
6 Sprite 190.00
7 Milo 315.00
8 Yogurt 35.00
9 Butter 160.00
10 Candle 207.00
11 Glue 12.00
12 Bread 290.00
13 Mint 25.00
14 Apple 35.00
15 Rin 32.00
16 Dettol 40.00
17 Wool 34.00
18 Oil 120.00
19 Berry 220.00
20 Tape 80.00
21 Orange 31.00
22 cloth 135.00
23 card 137.00
24 Water 100.00
25 Sponge 25.00
26 Cola 30.01
27 8Up 90.00
28 Pepsi 90.00
29 Soda 130.01
30 Anchor 150.01
31 Sprite 190.01
32 Milo 315.01
33 Yogurt 35.01
34 Butter 160.01
35 Candle 207.01
36 Glue 12.01
37 Bread 290.01
38 Mint 25.01
39 Apple 35.01
40 Rin 32.01
41 Dettol 40.01
42 Wool 34.01
43 Oil 120.01
44 Berry 220.01
45 Tape 80.01
46 Orange 31.01
47 cloth 135.01
48 card 137.01
49 Water 100.01
50 Sponge 25.01
51 Cola 30.02
52 9Up 90.00
53 Pepsi 90.00
54 Soda 130.02
55 Anchor 150.02
56 Sprite 190.02
57 Milo 315.02
58 Yogurt 35.02
59 Butter 160.02
60 Candle 207.02
61 Glue 12.02
62 Bread 290.02
63 Mint 25.02
64 Apple 35.02
65 Rin 32.02
66 Dettol 40.02
67 Wool 34.02
68 Oil 120.02
69 Berry 220.02
70 Tape 80.02
71 Orange 31.02
72 cloth 135.02
73 card 137.02
74 Water 100.02
75 Sponge 25.02
76 Cola 30.03
77 10Up 90.00
78 Pepsi 90.00
79 Soda 130.03
80 Anchor 150.03
81 Sprite 190.03
82 Milo 315.03
83 Yogurt 35.03
84 Butter 160.03
85 Candle 207.03
86 Glue 12.03
87 Bread 290.03
88 Mint 25.03
89 Apple 35.03
90 Rin 32.03
91 Dettol 40.03
92 Wool 34.03
93 Oil 120.03
94 Berry 220.03
95 Tape 80.03
96 Orange 31.03
97 cloth 135.03
98 card 137.03
99 Water 100.03
100 Sponge 25.03
